Hudud	Kod ichki	Kod tashqi
Окдарё тумани	1718203	004001
Оккургон тумани	1727206	008021
Олот тумани	1706204	003002
Олмазор тумани	1726280	007003
Олтиарик тумani	1730203	010001
Олтинсой тумани	1722201	013010
Амударё тумани	1735204	001099
Ангор тумани	1722202	013009
Ангрен шаҳри	1727407	008002
Андижон тумани	1703203	011007
Арнасой тумани	1708201	009008
Асака тумани	1703224	011018
Охангарон тумани	1727212	008022
Богот тумани	1733204	002006
Богдод тумani	1730209	010014
Бойсун тумani	1722204	013015
Баликчи тумani	1703206	011003
Бахмал тумani	1708204	009007
Бекобод тумani	1727220	008015
Бектемир тумani	1726264	007004
Беруний тумani	1735207	001015
Бешарик тумani	1730215	010017
Буз тумani	1703209	011002
Бустонлик тумani	1727224	008014
Бувайда тумani	1730212	010015
Бука тумani	1727228	008016
Булокбоши тумani	1703210	011001
Булунгур тумani	1718206	004003
Бухоро тумani	1706207	003007
Вобкент тумani	1706212	003008
галлаорол тумani	1708209	009009
Олмалик шаҳри	1727404	008010
Оҳангарон шаҳри	1727415	008011
Бекобод шаҳри	1727413	008006
Бухоро шаҳри	1706401	003003
Гулистон шаҳри	1724401	005010
Жиззах шаҳри	1708401	009001
Зарафшон шаҳри	1712408	014006
гиждувон тумani	1706215	003005
Когон шаҳри	1706403	003001
карши шаҳри	1710401	012011
кукон шаҳри	1730405	006002
кувасой шаҳри	1730408	010012
Маргилон шаҳри	1730412	010011
Навоий шаҳри	1712401	014005
Наманган шаҳри	1714401	006001
гузор тумani	1710207	012013
Гулистон тумani	1724220	005001
Урганч шаҳри	1733401	002010
Гурлан тумani	1733208	002007
Фаргона шаҳри	1730401	010016
Хива шаҳри	1733406	002009
Чирчик шаҳри	1727419	008009
Янгийул шаҳри	1727424	008008
Нукус шаҳри	1735401	001004
Дангара тумani	1730236	010009
Денов тумani	1722210	013012
Деҳконобод тумani	1710212	012010
Жалакудук тумani	1703211	011006
Жомбой тумani	1718209	004004
Жаркургон тумani	1722212	013014
Дустлик тумani	1708215	009010
Жондор тумani	1706246	003006
Зангиота тумani	1727237	008012
Зарбдор тумani	1708220	009006
Зафаробод тумani	1708225	009013
Избоскан тумani	1703214	011005
Иштихон тумani	1718212	004012
Когон тумani	1706219	003011
камаши тумani	1710220	012017
коракул тумani	1706230	003012
кораузак тумani	1735211	001010
Кармана тумani	1712234	014009
карши тумani	1710224	012014
Косонсой тумani	1714207	006004
Косон тумani	1710229	012015
Касби тумani	1710237	012001
Каттакургон тумani	1718215	004020
кибрай тумani	1727248	008017
кизирик тумani	1722215	013004
Китоб тумani	1710232	012009
кушкупир тумani	1733212	002001
кува тумani	1730218	010004
куйичирчик тумani	1727233	008003
кумкургон тумani	1722214	013003
кунгирот тумani	1735215	001016
кургонтепа тумani	1703220	011014
кизилтепа тумani	1712216	014001
Мингбулок тумani	1714204	006007
Миробод тумani	1726273	007008
Мирзаобод тумani	1724228	005005
Мирзачул тумani	1708223	009004
Мирзо-Улугбек тумani	1726269	007007
Миришкор тумani	1710233	012006
Муборак тумani	1710234	012003
Муйнок тумani	1735222	001018
Навбаҳор тумani	1712230	014010
Наманган тумani	1714212	006005
Нарпай тумani	1718218	004021
Норин тумani	1714216	006011
Нишон тумani	1710235	012004
Нуробод тумani	1718235	004015
Околтин тумani	1724206	011011
Поп тумani	1714219	006012
Паркент тумani	1727249	008020
Пахтаобод тумani	1703232	011015
Пахтакор тумani	1708228	009005
Пайарик тумani	1718224	004022
Пскент тумani	1727250	008018
Риштон тумani	1730224	010007
Самарканд тумani	1718233	004013
Сариосиё тумani	1722217	013001
Сиргали тумani	1726283	007002
Сух тумani	1730226	010008
Сирдарё тумani	1724231	005011
Томди тумani	1712244	014003
Тошкент тумani	1727265	008019
Тошлок тумani	1730227	010005
Термиз тумani	1722220	013011
Туракургон тумani	1714224	006009
Турткул тумani	1735233	001008
узбекистон тумani	1730230	010006
Узун тумani	1722221	013005
Уйчи тумani	1714229	006010
Улугнор тумani	1703217	011004
Урганч тумani	1733217	006013
Ургут тумani	1718236	004017
уртачирчик тумani	1727253	008004
Учкуприк тумani	1730221	010020
Учтепа тумani	1726262	007005
Фориш тумani	1708235	009003
Фаргона тумani	1730233	010021
Фуркат тумani	1730238	010018
Хазорасп тумani	1733220	002011
Хонобод шаҳри	1703408	011008
Хонка тумani	1733223	002005
Хатирчи тумani	1712251	014011
Хива тумani	1733226	002012
Чорток тумani	1714236	006016
Чилонзор тумani	1726294	007006
Чимбой тумani	1735240	001009
Чиноз тумani	1727256	008005
Чирокчи тумani	1710242	012007
Чуст тумani	1714237	006017
Шовот тумani	1733230	002003
Шайхонтохур тумani	1726277	007010
Шароф Рашидов тумani	1708212	009011
Шаҳрисабз тумani	1710245	012008
Шаҳрихон тумani	1703230	011017
Шеробод тумani	1722223	013007
Шуманай тумani	1735243	001012
Шурчи тумani	1722226	013008
Элликкала тумani	1735250	001011
Юкоричирчик тумani	1727239	008013
Юнусобод тумani	1726266	007009
Ёзёвон тумani	1730242	010003
Яккабог тумani	1710250	012005
Яккасарой тумani	1726287	007011
Янгиобод тумani	1708237	009002
Янгиарик тумani	1733233	002002
Янгибозор тумani	1733236	002004
Янгикургон тумani	1714242	006014
Янгийул тумani	1727259	008001
Яшнобод тумani	1726290	007001
